id,id_long,WIGOS,short_name,location,radar_type,postchange_start,prechange_end,site_lat,site_lon,site_alt,band,doppler,dp,eth_dhz_threshold,beamwidth,state,notes
31,031_1,0-20000-0-94802,Albany,Albany,WF100C,21/02/2003,30/11/2011,-34.9414,117.8022,93,C,,,18,1.7,WA,
31,031_2,0-20000-0-94802,Albany,Albany,DWSR2502C,1/12/2011,04/02/2019,-34.9418,117.8164,93,C,,,18,1.7,WA,
31,031_3,0-20000-0-94802,Albany,Albany,Meteor735CDP,14/05/2019,-,-34.9418,117.8163,93,C,Yes,Yes,18,1,WA,
32,032_1,0-20000-0-94638,Esprnce,Esperence,WF100C,19/02/2003,30/09/2019,-33.8302,121.8918,42.9,C,,,18,1.7,WA,
32,032_2,0-20000-0-94638,Esprnce,Esperence,Meteor735CDP,28/12/2019,-,-33.8303,121.8917,42.9,C,Yes,Yes,18,1,WA,
33,033_1,0-20000-0-94653,Ceduna,Ceduna,WF100C,06/01/2002,30/06/2010,-32.1298,133.6963,32,C,,,18,2.1,SA,
33,033_2,0-20000-0-94653,Ceduna,Ceduna,DWSR2502C,1/07/2010,-,-32.1298,133.6963,32,C,,,18,1.7,SA,
34,034_1,0-20000-0-94287,CairnAP,Cairns AP,WF100C,30/08/2005,22/04/2015,-16.873,145.746,9,C,,,18,2,QLD,airport radar
36,036_1,0-20000-0-94256,GlfCarp,Gulf of Carpentaria (Mornington Island),WSR81C,16/11/1999,-,-16.666,139.167,19.6,C,,,18,1.7,QLD,
37,037_1,0-20000-0-94975,Hobart,Hobart Airport,WF100-5C,24/08/1998,-,-42.8374,147.5008,32.1,C,,,18,2,TAS,
38,038_1,0-20000-0-94510,Charleville,Charleville,WF100C,14/03/2000,1/10/2006,-26.4139,146.2558,316,C,,,18,2,QLD,
38,038_2,,Ndegate,Newdegate,Wurrung-2502C,01/10/2016,-,-33.097,119.0087,340,C,Yes,,18,1.7,WA,
39,039_1,0-20000-0-94212,HallsCk,Halls Creek,WF100-5C,26/03/2008,-,-18.231,127.663,439.4,C,,,18,1.7,NT,
40,040_1,0-20000-0-07034,CapFlat,Canberra (Captains Flat),DWSR74S,22/11/2002,12/05/2013,-35.6614,149.5122,1382.7,S,,,18,1.9,ACT,
40,040_2,0-20000-0-07034,CapFlat,Canberra (Captains Flat),DWSR74S,17/05/2013,-,-35.6614,149.5122,1382.7,S,Yes,,18,1.9,ACT,
41,041_1,0-20000-0-94299,Willis,Willis Island,WF100,11/12/1998,1/11/2006,-16.2874,149.9646,20,C,,,18,1.7,QLD,
41,041_2,0-20000-0-94299,Willis,Willis Island,WF100,2/11/2006,16/11/2011,-16.2874,149.9646,19,C,,,18,1.7,QLD,
41,041_3,0-20000-0-94299,Willis,Willis Island,DWSR2502C,17/11/2011,-,-16.2874,149.9646,20.3,C,,,18,1.7,QLD,
